Region,Customer Segment,Age Range,Season,Distance (Miles),Staffing Level (Proxy),Track Congestion (Proxy),Total Fare Amount,Communication About Status,Cleanliness,Comfort,Wi-Fi,Food & Beverage,Departure Delay (Minutes),Arrival Delay (Minutes),On-time Performance,Overall Satisfaction
Midwest,Leisure,35-44,Spring,180.3,0.2,0.652,86.95,,2.69,3.78,3.07,2.4,39.7,45.8,2.9,5.0
Southeast,Leisure,65+,Fall,213.0,1.0,0.0,89.15,4.23,3.84,3.39,4.37,2.12,0.0,3.7,4.86,5.0
Northeast,Business,55-64,Spring,336.7,0.686,0.42,126.29,3.53,3.62,3.06,2.24,3.48,39.3,42.0,3.35,5.0
West,Commuter,35-44,Winter,319.2,0.646,0.07,99.79,3.02,4.3,3.21,3.32,2.98,15.0,21.7,4.13,5.0
Midwest,Leisure,35-44,Summer,245.0,0.672,0.258,96.61,3.06,4.81,2.77,3.67,4.31,31.7,37.4,3.42,5.0
Northeast,Business,25-34,Winter,373.0,0.545,0.765,135.29,,3.92,3.43,4.38,3.29,67.2,72.2,1.76,5.0
Southeast,Business,35-44,Winter,220.2,0.2,0.768,89.74,1.93,3.52,3.43,3.88,3.2,60.6,66.0,1.77,5.0
Midwest,Commuter,55-64,Spring,189.7,0.2,0.806,103.65,2.89,3.97,4.2,4.45,3.74,35.4,41.5,3.02,5.0
Northeast,Leisure,18-24,Summer,217.3,1.0,0.0,89.32,5.0,3.96,4.13,4.17,3.52,0.0,6.1,4.48,5.0
West,Commuter,35-44,Summer,148.3,0.628,0.091,66.8,4.57,2.61,4.56,4.05,3.75,5.0,11.8,4.55,5.0
West,Business,65+,Winter,340.8,0.255,0.891,125.89,2.7,4.04,3.66,2.35,,57.2,67.5,1.98,5.0
Southwest,Business,45-54,Summer,143.8,0.554,0.139,76.08,4.02,4.47,3.03,2.52,2.73,16.3,23.3,3.98,5.0
Midwest,Leisure,35-44,Winter,48.5,1.0,0.0,36.97,5.0,4.74,5.0,4.84,2.03,0.0,0.0,5.0,5.0
Southwest,Business,25-34,Fall,74.0,0.447,0.633,63.43,2.54,3.13,3.41,2.85,,36.3,40.9,3.09,5.0
Midwest,Business,18-24,Winter,259.7,0.663,0.488,122.45,4.42,4.3,2.62,2.88,1.24,42.9,50.1,2.55,5.0
Southwest,Leisure,25-34,Winter,128.8,0.645,0.144,67.84,4.36,4.84,3.85,1.5,2.38,11.0,16.9,4.18,5.0
Northeast,Leisure,18-24,Summer,323.6,0.389,0.02,126.16,4.54,5.0,2.5,4.1,2.63,29.2,36.2,3.44,5.0
Midwest,Business,25-34,Fall,206.3,0.92,0.48,95.44,4.97,4.35,3.72,2.52,4.26,24.3,30.4,3.38,5.0
Northeast,Business,25-34,Fall,339.4,0.755,0.432,149.48,3.45,4.57,3.39,2.7,2.93,40.4,43.1,3.09,5.0
Midwest,Leisure,25-34,Summer,52.2,0.458,0.581,55.17,3.75,3.23,4.0,4.1,4.58,36.4,39.3,3.05,5.0
Southeast,Leisure,18-24,Winter,143.1,0.77,0.298,69.24,3.49,3.31,4.4,1.61,,22.5,30.2,3.73,5.0
Northeast,Leisure,65+,Fall,112.7,0.623,0.691,64.32,3.59,4.5,3.46,4.37,1.57,39.5,48.4,2.63,5.0
Northeast,Commuter,25-34,Winter,750.4,0.806,0.215,215.51,4.28,2.78,3.46,2.74,,43.6,58.1,2.5,5.0
Midwest,Commuter,35-44,Spring,158.7,0.783,0.62,79.37,3.77,4.08,4.27,,,55.6,65.9,1.82,5.0
Northeast,Leisure,65+,Fall,73.2,0.404,0.322,55.17,,4.66,3.08,2.61,1.48,35.0,35.8,3.25,5.0
West,Leisure,25-34,Summer,256.9,0.555,0.258,97.0,4.83,4.3,3.71,2.23,3.68,31.2,39.1,3.34,5.0
Midwest,Leisure,35-44,Fall,106.2,0.555,0.517,60.59,3.56,4.3,4.05,2.66,4.32,23.7,26.1,3.8,5.0
Southeast,Business,55-64,Fall,359.7,0.272,0.408,110.42,4.0,3.71,3.03,2.51,1.04,38.6,50.8,2.42,5.0
Midwest,Commuter,45-54,Fall,394.4,0.289,0.459,120.7,3.84,3.5,3.38,2.18,2.0,39.0,47.7,2.96,5.0
Northeast,Business,25-34,Summer,113.4,0.525,0.939,92.57,2.81,5.0,3.73,,3.87,44.7,44.6,2.68,5.0
West,Leisure,55-64,Fall,131.3,0.486,0.602,69.6,3.26,4.58,4.58,2.46,2.85,58.1,64.9,2.05,5.0
Midwest,Leisure,45-54,Winter,242.9,0.677,0.0,104.67,4.16,4.45,2.86,1.86,4.38,18.7,21.5,4.34,5.0
West,Leisure,35-44,Winter,365.8,0.343,0.644,117.41,2.68,3.79,3.5,1.52,,82.2,90.7,1.0,4.07
Northeast,Commuter,18-24,Winter,259.6,0.224,0.335,113.66,2.55,3.36,4.51,3.5,3.72,42.0,40.4,3.13,5.0
Midwest,Business,18-24,Winter,158.9,0.626,0.798,89.53,3.18,4.56,4.37,1.88,4.1,54.4,60.9,2.25,5.0
Midwest,Business,55-64,Winter,83.7,0.713,0.347,83.37,3.78,3.77,3.52,3.21,2.33,18.9,13.1,4.25,5.0
West,Leisure,35-44,Fall,521.5,0.662,0.283,171.8,3.34,3.98,3.65,4.91,2.78,41.1,49.5,2.8,5.0
Midwest,Commuter,25-34,Spring,263.3,0.709,0.226,103.94,4.78,4.32,4.03,3.51,4.82,27.8,27.6,4.08,5.0
Midwest,Leisure,35-44,Spring,584.4,0.8,0.0,166.22,,4.13,4.08,3.68,2.77,21.4,28.6,3.65,5.0
Southeast,Commuter,65+,Summer,285.7,0.791,0.769,97.54,3.94,4.93,4.7,2.92,4.07,50.6,56.2,2.35,5.0
Southeast,Commuter,18-24,Spring,541.3,0.875,0.665,164.13,4.72,3.25,4.55,3.37,2.92,37.0,45.2,3.04,5.0
Midwest,Business,18-24,Summer,123.5,0.759,0.0,77.91,3.53,4.02,2.76,3.23,,6.7,12.2,4.56,5.0
Midwest,Commuter,35-44,Winter,129.6,0.308,0.611,71.48,3.6,5.0,2.48,3.41,2.1,40.4,42.0,3.12,5.0
Northeast,Leisure,45-54,Summer,185.2,1.0,0.085,85.16,4.4,4.64,3.42,4.82,3.62,8.5,12.9,4.37,5.0
West,Business,35-44,Fall,117.0,0.454,0.867,71.3,3.52,3.71,2.34,2.85,4.19,46.6,45.6,3.03,5.0
West,Leisure,65+,Winter,64.9,0.653,0.0,53.5,4.39,4.41,4.61,2.73,3.5,8.5,12.8,4.2,5.0
Northeast,Business,18-24,Winter,138.6,0.2,0.736,96.89,,3.67,2.51,3.05,3.19,59.8,63.3,2.08,5.0
Midwest,Leisure,35-44,Winter,283.3,1.0,0.264,106.92,3.91,4.98,3.59,4.24,2.09,30.4,38.2,2.93,5.0
Northeast,Leisure,35-44,Summer,91.0,0.2,0.503,50.62,2.78,4.19,2.95,2.86,2.97,9.6,14.5,4.33,5.0
Southwest,Leisure,35-44,Fall,98.3,1.0,0.246,69.86,4.57,3.58,2.69,3.69,3.29,12.5,18.0,4.16,5.0
Southeast,Leisure,35-44,Fall,144.4,0.682,0.423,70.84,3.54,4.08,4.53,3.74,2.27,22.1,26.6,3.96,5.0
Southwest,Business,55-64,Fall,108.4,0.225,0.394,71.32,3.25,3.96,3.16,4.87,3.36,11.5,14.4,4.23,5.0
Southwest,Business,25-34,Summer,149.8,0.909,0.951,73.58,4.04,4.34,5.0,4.11,2.49,53.8,61.2,2.4,5.0
West,Leisure,55-64,Summer,193.8,0.695,0.388,92.24,3.68,4.14,4.69,2.64,2.71,17.9,22.4,3.96,5.0
Northeast,Commuter,25-34,Spring,95.4,0.2,1.0,85.55,3.12,4.04,3.56,1.33,3.66,79.1,79.3,1.53,4.27
West,Commuter,45-54,Summer,146.6,0.455,0.666,72.94,5.0,4.08,2.17,,4.46,45.4,52.0,2.77,5.0
Southeast,Leisure,35-44,Winter,204.6,0.857,0.435,90.95,4.79,3.6,3.52,2.84,4.46,24.1,32.3,3.55,5.0
Northeast,Leisure,45-54,Fall,120.2,1.0,0.0,69.33,5.0,3.83,5.0,3.11,3.0,13.9,16.1,4.32,5.0
Midwest,Business,25-34,Winter,83.7,0.45,0.699,51.53,3.91,3.67,3.93,2.41,3.51,52.9,57.0,2.35,5.0
Southeast,Business,65+,Fall,126.1,0.236,0.291,77.26,3.94,3.78,3.45,2.76,3.55,4.1,8.5,4.8,5.0
West,Leisure,65+,Spring,164.6,0.805,0.24,56.3,,3.85,3.31,2.98,3.66,37.9,41.6,3.53,5.0
West,Business,55-64,Summer,62.3,0.578,0.544,59.27,3.88,4.55,4.29,3.18,3.16,32.8,28.1,3.52,5.0
Southeast,Leisure,65+,Winter,285.8,0.2,1.0,128.46,3.8,3.12,3.82,2.54,4.14,71.7,73.0,1.72,5.0
West,Leisure,25-34,Spring,170.2,0.801,0.146,60.36,4.34,2.96,3.94,2.83,2.54,6.3,8.2,4.59,5.0
Southeast,Business,35-44,Fall,126.6,0.564,0.502,96.56,2.79,5.0,4.46,3.7,2.02,30.8,33.5,3.56,5.0
Midwest,Business,25-34,Winter,69.9,0.499,0.592,78.42,2.82,3.36,4.41,3.24,,42.4,39.1,3.0,5.0
Southeast,Commuter,65+,Winter,264.8,0.533,0.153,96.27,,4.53,3.97,3.3,2.76,16.1,13.1,4.25,5.0
West,Leisure,25-34,Summer,396.6,0.504,0.421,136.31,3.18,4.22,2.54,3.22,4.76,40.6,48.1,3.09,5.0
Northeast,Leisure,25-34,Fall,142.4,0.467,0.402,72.64,4.04,3.36,2.95,2.53,2.61,44.4,47.3,3.09,5.0
Northeast,Leisure,45-54,Spring,555.5,0.774,0.386,161.88,5.0,3.91,3.3,4.52,4.02,17.1,31.7,3.33,5.0
Midwest,Leisure,18-24,Winter,198.8,0.715,0.46,89.32,3.75,3.79,3.69,4.97,3.5,38.6,50.3,3.03,5.0
West,Leisure,55-64,Winter,203.3,0.2,1.0,80.89,3.85,3.91,4.61,4.07,1.71,74.2,72.8,1.61,5.0
West,Business,25-34,Fall,332.4,0.519,0.622,128.77,3.68,3.4,5.0,1.83,3.57,53.0,61.0,2.38,5.0
Southwest,Business,45-54,Winter,272.9,0.698,0.373,101.83,3.95,3.84,3.98,2.81,2.49,36.5,51.4,2.67,5.0
West,Business,65+,Summer,90.6,0.611,0.722,54.5,3.86,3.88,4.07,3.84,5.0,38.7,35.2,3.46,5.0
West,Leisure,45-54,Fall,138.9,0.602,0.0,81.57,3.54,4.56,2.62,2.74,2.34,0.0,0.0,5.0,5.0
Midwest,Leisure,25-34,Spring,365.2,0.963,0.736,131.25,,3.83,3.49,2.85,,49.9,61.1,2.39,5.0
Southeast,Business,18-24,Winter,276.1,1.0,0.0,121.93,3.67,3.51,3.41,2.4,1.17,9.9,16.2,4.2,5.0
West,Leisure,18-24,Fall,558.4,0.492,0.766,161.95,3.28,3.52,3.2,2.93,2.34,49.4,61.6,2.51,5.0
Southwest,Commuter,18-24,Fall,251.7,0.489,0.913,112.35,,4.06,4.05,2.55,3.68,48.3,55.8,2.66,5.0
Southeast,Leisure,45-54,Summer,281.7,0.767,0.264,126.58,3.14,2.92,3.41,,2.16,31.0,39.6,3.17,5.0
Northeast,Business,35-44,Fall,125.9,1.0,0.137,72.83,3.76,4.82,2.47,4.41,3.6,11.5,15.7,4.31,5.0
Southwest,Commuter,25-34,Fall,393.1,0.434,0.398,134.36,3.24,3.83,4.22,3.57,3.25,38.6,48.7,2.83,5.0
Southeast,Business,25-34,Summer,36.9,0.202,0.834,60.21,2.7,3.96,4.4,2.03,2.1,55.2,51.1,2.65,5.0
West,Business,65+,Spring,224.9,0.533,0.348,78.72,3.72,4.0,3.86,3.97,2.93,40.3,48.8,2.76,5.0
Southeast,Business,25-34,Winter,286.6,0.392,0.377,99.34,3.36,3.4,3.5,3.32,2.16,19.3,31.2,3.72,5.0
Northeast,Leisure,25-34,Summer,241.9,0.2,0.751,91.87,2.83,3.05,2.93,4.03,3.75,60.6,69.9,1.95,4.91
West,Business,35-44,Fall,199.8,0.2,0.67,83.87,2.24,3.28,2.97,3.7,1.33,74.7,80.7,1.29,4.17
Northeast,Commuter,18-24,Summer,186.3,0.763,0.063,89.77,3.87,3.08,4.48,2.78,3.75,16.4,27.6,3.77,5.0
Northeast,Commuter,65+,Summer,204.9,0.955,0.403,95.39,4.2,4.29,3.26,,2.47,21.0,25.8,3.69,5.0
Midwest,Leisure,18-24,Summer,100.6,0.357,0.581,51.95,3.4,3.68,5.0,3.75,3.11,37.5,43.5,3.3,5.0
West,Leisure,45-54,Spring,241.2,0.715,0.044,108.49,5.0,3.04,4.38,4.23,3.5,17.5,29.1,3.81,5.0
Northeast,Business,45-54,Winter,126.8,0.516,0.61,76.05,3.54,3.49,3.89,4.04,3.16,59.3,60.4,2.27,5.0
Southeast,Business,55-64,Summer,142.4,0.468,0.269,81.89,3.62,4.23,5.0,4.92,4.88,24.7,32.8,3.55,5.0
West,Leisure,45-54,Fall,92.9,0.401,0.819,69.25,2.11,4.58,4.51,3.94,2.64,50.7,48.1,2.96,5.0
West,Leisure,55-64,Winter,843.9,0.756,0.277,205.04,,3.21,3.43,2.75,1.85,45.1,58.5,2.29,5.0
