Amtrak Product,Service Class,Total Fare Amount,Mileage,Departure Performance (Minutes Late),Arrival Performance (Minutes Late),Overall Trip Satisfaction,Boarding Station Overall,On-time Performance of the Train,Communication About Train Status,Cleanliness of the Train,Comfort of Train Ride,Food and Beverage on the Train,Wi-Fi on the Train,Friendliness of Amtrak Personnel at the Boarding Station,Friendliness of Amtrak Personnel on the Train,Age Range
Acela,Business Class,52.2,231,0,-1,9,9,9,9,9,9,5,N/A,7,9,65 to 74
Acela,Business Class,71,225,4,0,,,,,,,,,,,
Acela,Business Class,185,225,0,-1,,,,,,,,,,,
Acela,Business Class,75,220,2,2,,,,,,,,,,,
Acela,Business Class,91,261,5,-1,9,9,9,8,8,9,N/A,6,9,9,75 or older
Acela,Business Class,226,225,0,7,,,,,,,,,,,
Acela,Business Class,58,127,11,18,10,8,8,10,9,10,8,10,10,10,65 to 74
Acela,Business Class,85,185,1,-3,,,,,,,,,,,
Acela,Business Class,57,91,0,-2,10,10,10,10,10,10,10,10,10,10,18 to 24
Acela,Business Class,150,311,8,-3,,,,,,,,,,,
Acela,Business Class,44,91,0,-2,8,7,7,6,7,8,N/A,2,7,7,55 to 64
Acela,Business Class,58,232,0,-6,9,8,10,9,9,9,N/A,N/A,N/A,9,18 to 24
Acela,Business Class,150,311,1,3,,,,,,,,,,,
Acela,Business Class,127,373,0,1,,,,,,,,,,,
Acela,Business Class,56,109,1,-1,,,,,,,,,,,
Acela,Business Class,72,188,42,93,6,8,0,6,10,10,N/A,7,10,10,35 to 44
Acela,Business Class,100,232,0,0,0,0,0,0,0,0,0,0,0,0,35 to 44
Acela,Business Class,85,260,0,-1,10,10,10,10,10,10,N/A,0,10,10,35 to 44
Acela,Business Class,100,220,2,-1,10,10,10,10,10,10,N/A,N/A,10,10,75 or older
Acela,Business Class,95,428,0,0,,,,,,,,,,,
Acela,Business Class,47.5,134,1,0,9,8,10,10,10,10,10,10,10,10,65 to 74
Acela,Business Class,119,116,82,87,5,10,0,1,10,5,N/A,9,8,10,45 to 54
Acela,Business Class,186,232,0,1,,,,,,,,,,,
Acela,First Class,293,232,0,-3,5,8,10,10,9,4,2,4,5,10,25 to 34
Acela,Business Class,117,91,0,-1,,,,,,,,,,,
Acela,Business Class,75,242,0,84,,,,,,,,,,,
Acela,Business Class,69,323,0,8,9,8,8,8,8,8,N/A,8,8,8,65 to 74
Acela,Business Class,56,188,2,-6,6,7,9,5,3,5,N/A,N/A,7,N/A,55 to 64
Acela,Business Class,63.9,225,0,0,,,,,,,,,,,
Acela,Business Class,52.2,232,0,-3,,,,,,,,,,,
Acela,Business Class,75,232,0,-1,,,,,,,,,,,
Acela,Business Class,70,144,1,-10,10,10,10,10,10,10,N/A,10,10,10,55 to 64
Acela,Business Class,179,311,2,-3,,,,,,,,,,,
Acela,Business Class,91,225,0,-6,,,,,,,,,,,
Acela,Business Class,110,134,0,-1,,,,,,,,,,,
Acela,Business Class,72,188,42,93,,,,,,,,,,,
Acela,Business Class,91,215,0,1,,,,,,,,,,,
Acela,Business Class,145,116,5,2,10,10,10,10,10,10,N/A,10,10,10,55 to 64
Acela,Business Class,152,231,10,27,,,,,,,,,,,
Acela,Business Class,211,185,5,8,,,,,,,,,,,
Acela,First Class,226,225,0,7,9,9,9,9,9,4,8,8,9,9,65 to 74
Acela,Business Class,226,225,0,-1,,,,,,,,,,,
Acela,Business Class,59.4,185,1,-6,8,3,9,7,7,8,N/A,3,5,8,65 to 74
Acela,First Class,219,323,0,-3,9,7,10,10,9,8,10,7,10,10,45 to 54
Acela,First Class,268,232,2,9,,,,,,,,,,,
Acela,Business Class,166.5,225,0,1,10,10,10,10,10,10,N/A,N/A,10,10,35 to 44
Acela,Business Class,174,202,7,2,,,,,,,,,,,
Acela,Business Class,136.8,232,0,-3,,,,,,,,,,,
Acela,Business Class,75,232,0,1,8,4,9,8,8,8,6,8,8,8,55 to 64
Acela,Business Class,88,322,11,27,,,,,,,,,,,
Acela,Business Class,113,195,2,8,,,,,,,,,,,
Acela,Business Class,110,134,0,1,10,8,9,8,6,8,N/A,N/A,8,8,75 or older
Acela,Business Class,180,322,0,-3,9,7,10,10,10,9,8,10,10,10,55 to 64
Acela,Business Class,58,220,2,1,,,,,,,,,,,
Acela,Business Class,56,188,2,-6,,,,,,,,,,,
Acela,First Class,193.2,0,5,-6,10,9,10,9,9,9,9,9,10,10,75 or older
Acela,Business Class,50,36,0,4,10,10,10,10,10,10,10,10,10,10,65 to 74
Acela,Business Class,55,157,0,-5,,,,,,,,,,,
Acela,Business Class,155,225,0,-1,9,5,10,7,9,8,N/A,9,6,6,55 to 64
Acela,Business Class,56,188,2,-6,6,9,4,5,4,8,5,N/A,8,8,55 to 64
Acela,Business Class,127,232,0,1,10,10,8,8,10,10,10,8,10,10,75 or older
Acela,Business Class,123,75,0,-3,8,7,10,10,7,8,8,N/A,10,10,45 to 54
Acela,Business Class,45,134,0,1,,,,,,,,,,,
Acela,Business Class,58,231,2,1,,,,,,,,,,,
Acela,Business Class,123,347,1,-6,,,,,,,,,,,
Acela,Business Class,145.8,457,0,0,10,3,10,10,10,10,5,5,10,10,65 to 74
Acela,Business Class,71,225,0,1,,,,,,,,,,,
Acela,Business Class,58,116,3,3,,,,,,,,,,,
Acela,Business Class,66.6,457,0,-6,,,,,,,,,,,
Acela,Business Class,58,231,1,93,10,10,6,10,10,10,6,10,10,10,25 to 34
Acela,Business Class,116,167,0,0,10,10,10,6,10,10,10,10,10,10,18 to 24
Acela,Business Class,75,241,1,-8,10,10,10,10,10,10,10,10,10,10,45 to 54
Acela,First Class,170,91,1,-6,6,9,9,9,7,6,2,N/A,N/A,9,45 to 54
Acela,Business Class,75,220,0,-3,,,,,,,,,,,
Acela,Business Class,91,225,0,1,,,,,,,,,,,
Acela,Business Class,263,225,5,-4,7,3,8,1,9,8,8,8,5,5,45 to 54
Acela,Business Class,58,116,0,2,,,,,,,,,,,
Acela,Business Class,45,91,0,18,,,,,,,,,,,
Acela,Business Class,131.4,188,0,-3,10,10,10,10,10,10,N/A,9,9,9,75 or older
Acela,Business Class,162,457,0,-4,,,,,,,,,,,
Acela,Business Class,127,232,0,-3,,,,,,,,,,,
Acela,Business Class,25,44,0,1,,,,,,,,,,,
Acela,Business Class,152,231,0,-8,10,10,10,10,10,9,7,N/A,9,10,45 to 54
Acela,First Class,165,91,1,3,6,9,10,9,5,7,N/A,N/A,10,9,55 to 64
Acela,Business Class,91,225,0,3,5,9,8,4,8,8,8,8,8,8,18 to 24
Acela,Business Class,272.7,225,0,1,8,6,8,8,8,8,3,7,9,9,75 or older
Acela,Business Class,152,220,1,-5,10,9,10,N/A,10,10,8,9,10,10,45 to 54
Acela,Business Class,71,225,0,-7,,,,,,,,,,,
Acela,Business Class,180,321,10,0,,,,,,,,,,,
Acela,Business Class,71,225,0,3,,,,,,,,,,,
Acela,Business Class,127,232,0,-3,7,6,10,9,9,8,3,N/A,9,9,35 to 44
Acela,Business Class,58,231,3,-5,1,5,8,7,9,9,N/A,N/A,8,0,25 to 34
Acela,Business Class,49.3,232,2,2,9,9,9,9,9,9,N/A,4,N/A,N/A,18 to 24
Acela,Business Class,91,225,0,3,10,10,10,10,10,10,N/A,4,10,10,25 to 34
Acela,Business Class,155,225,0,-5,10,10,10,10,10,10,10,10,10,10,45 to 54
Acela,Business Class,127,231,0,4,,,,,,,,,,,
Acela,Business Class,91,225,0,-5,10,10,10,10,10,10,N/A,10,10,10,65 to 74
Acela,Business Class,63.9,225,1,-2,,,,,,,,,,,
Acela,Business Class,57,91,5,5,10,10,10,10,10,10,10,10,10,10,55 to 64
Acela,Business Class,145.8,457,0,-2,,,,,,,,,,,
Acela,Business Class,58,232,0,0,,,,,,,,,,,
Acela,Business Class,51.3,91,0,-2,10,10,10,10,10,10,N/A,N/A,10,10,65 to 74
Acela,Business Class,100,232,0,0,9,9,10,10,9,9,9,10,N/A,9,55 to 64
Acela,Business Class,106,104,2,5,,,,,,,,,,,
Acela,Business Class,185,300,0,0,9,9,9,9,6,7,N/A,8,9,9,55 to 64
Acela,Business Class,58,116,2,3,8,7,8,8,8,9,0,8,8,9,55 to 64
Acela,Business Class,132,134,3,-2,4,7,1,3,4,5,N/A,N/A,7,7,55 to 64
Acela,Business Class,114.3,231,2,1,10,10,10,N/A,10,10,N/A,N/A,N/A,9,75 or older
Acela,Business Class,72,188,0,-3,10,10,10,10,10,10,N/A,10,10,10,45 to 54
Acela,Business Class,155,225,0,0,9,9,9,9,9,9,7,8,N/A,N/A,75 or older
Acela,Business Class,145,116,5,5,9,9,9,9,8,9,N/A,8,8,8,55 to 64
Acela,Business Class,67.5,0,3,2,,,,,,,,,,,
Acela,Business Class,131.4,188,2,-5,,,,,,,,,,,
Acela,Business Class,75,220,0,-3,,,,,,,,,,,
Acela,Business Class,114.3,232,0,4,,,,,,,,,,,
Acela,Business Class,63.9,225,0,-2,10,10,10,10,10,8,N/A,8,10,10,65 to 74
Acela,Business Class,185,225,0,-5,8,8,10,N/A,7,6,7,4,10,10,65 to 74
Acela,Business Class,155,225,0,3,10,10,10,10,10,10,10,10,10,10,35 to 44
Acela,Business Class,100,220,1,0,,,,,,,,,,,
Acela,Business Class,121,225,0,5,10,10,10,10,10,10,8,10,10,10,35 to 44
Acela,Business Class,127,256,2,-4,10,10,10,5,10,10,8,3,10,10,55 to 64
Acela,Business Class,57,91,0,-2,10,10,10,10,10,10,N/A,N/A,10,10,65 to 74
Acela,Business Class,130.5,231,5,0,2,10,10,10,7,,3,3,10,10,65 to 74
Acela,Business Class,66,75,2,-5,10,10,10,10,10,10,N/A,10,10,10,65 to 74
Acela,Business Class,76,91,0,2,9,7,10,9,9,9,6,9,10,10,45 to 54
Acela,First Class,308.4,220,2,1,,,,,,,,,,,
Acela,Business Class,127,242,1,3,10,6,10,10,10,10,10,N/A,N/A,10,45 to 54
Acela,Business Class,91,225,0,22,,,,,,,,,,,
Acela,Business Class,185,262,1,22,,,,,,,,,,,
Acela,Business Class,100,232,0,0,10,10,10,10,10,10,10,10,10,10,55 to 64
Acela,Business Class,76,91,0,-1,10,9,10,10,8,9,N/A,6,10,10,18 to 24
Acela,Business Class,124,225,0,-1,8,7,9,9,8,8,N/A,7,7,7,18 to 24
Acela,Business Class,189.9,195,0,0,,,,,,,,,,,
Acela,Business Class,100,232,0,-3,8,N/A,8,8,8,7,N/A,N/A,N/A,8,55 to 64
Acela,Business Class,155,225,0,-4,9,9,10,10,10,10,10,5,9,9,55 to 64
Acela,First Class,162,109,1,4,,,,,,,,,,,
Acela,First Class,233,225,0,15,8,8,8,10,10,10,2,N/A,10,10,65 to 74
Acela,Business Class,58,220,3,12,10,9,10,10,10,10,9,10,10,10,55 to 64
Acela,Business Class,167.4,231,3,12,,,,,,,,,,,
Acela,Business Class,58,116,2,-6,10,10,10,10,10,10,N/A,N/A,10,10,55 to 64
Acela,Business Class,118,323,0,-1,,,,,,,,,,,
Acela,Business Class,226,225,0,-4,9,10,9,10,8,9,7,7,9,9,18 to 24
Acela,Business Class,63.9,225,0,15,,,,,,,,,,,
Acela,Business Class,58,232,0,10,,,,,,,,,,,
Acela,Business Class,139,167,2,1,10,8,10,N/A,9,9,N/A,9,9,9,65 to 74
Acela,Business Class,91,225,0,-6,,,,,,,,,,,
Acela,Business Class,86,134,0,6,10,9,10,10,10,9,N/A,3,9,10,25 to 34
Acela,Business Class,121,225,0,-1,8,8,8,8,8,8,,,8,8,65 to 74
Acela,Business Class,189,347,4,-1,,,,,,,,,,,
Acela,Business Class,121,215,0,-2,,,,,,,,,,,
Acela,Business Class,63.9,225,0,15,,,,,,,,,,,
Acela,Business Class,83,279,1,-4,10,10,10,10,10,10,N/A,N/A,10,10,18 to 24
Acela,Business Class,155,225,0,-4,,,,,,,,,,,
Acela,Business Class,66,201,0,-1,10,8,10,10,10,10,10,10,10,10,35 to 44
Acela,First Class,67,40,0,0,,,,,,,,,,,
Acela,Business Class,127,220,2,0,,,,,,,,,,,
Acela,Business Class,100,232,0,0,10,10,10,10,10,10,10,10,10,10,25 to 34
Acela,Business Class,75,232,0,0,10,10,10,10,10,10,N/A,10,7,10,25 to 34
Acela,Business Class,152,220,2,-2,10,10,10,10,10,10,N/A,10,10,10,55 to 64
Acela,Business Class,179,311,4,11,10,10,10,10,10,10,10,10,10,10,55 to 64
Acela,Business Class,57,91,0,0,10,9,10,10,10,10,N/A,10,10,10,25 to 34
Acela,Business Class,131.4,188,2,0,,,,,,,,,,,
Acela,Business Class,189,127,2,-2,,,,,,,,,,,
Acela,Business Class,91,225,12,1,7,9,8,9,7,7,5,7,7,6,65 to 74
Acela,Business Class,71,225,0,-1,10,10,10,9,9,10,N/A,9,10,9,45 to 54
Acela,Business Class,185,301,0,3,,,,,,,,,,,
Acela,Business Class,185,225,0,-4,8,6,9,8,9,9,N/A,7,5,8,55 to 64
Acela,Business Class,59.4,195,3,1,,,,,,,,,,,
Acela,Business Class,49.3,231,1,-5,,,,,,,,,,,
Acela,Business Class,121,225,0,1,,,,,,,,,,,
Acela,Business Class,119,116,3,1,9,5,8,8,8,8,8,8,8,8,55 to 64
Acela,Business Class,146,188,5,-2,10,10,10,10,10,8,10,9,10,10,55 to 64
Acela,Business Class,127,456,0,-4,,,,,,,,,,,
Acela,Business Class,45,116,0,3,,,,,,,,,,,
Acela,Business Class,74,457,0,-4,,,,,,,,,,,
Acela,Business Class,58,220,0,-5,10,10,10,10,10,10,N/A,10,10,10,55 to 64
Acela,Business Class,263,300,7,5,10,8,8,7,9,10,N/A,N/A,N/A,10,25 to 34
Acela,Business Class,155,225,0,-1,8,10,10,10,10,9,N/A,N/A,N/A,10,Prefer not to answer
Acela,Business Class,155,225,0,-6,10,9,10,6,10,10,N/A,9,10,10,65 to 74
Acela,Business Class,89.1,116,5,15,9,9,6,5,8,8,N/A,2,6,8,65 to 74
Acela,Business Class,100,0,10,-4,9,9,9,9,9,9,3,5,N/A,7,45 to 54
Acela,Business Class,226,225,0,-1,7,9,9,9,6,7,N/A,6,N/A,N/A,75 or older
Acela,Business Class,85.5,414,2,-4,,,,,,,,,,,
Acela,Business Class,58,231,2,11,10,10,10,10,10,10,7,10,9,10,75 or older
Acela,Business Class,86,134,0,6,8,5,5,6,10,6,N/A,9,N/A,9,45 to 54
Acela,Business Class,90,220,0,-1,,,,,,,,,,,
Acela,Business Class,185,225,0,-7,,,,,,,,,,,
Acela,Business Class,58,232,0,12,7,8,9,9,7,7,N/A,7,N/A,6,45 to 54
Acela,Business Class,145,185,3,-4,,,,,,,,,,,
Acela,Business Class,75,231,0,2,8,8,8,7,7,7,6,5,8,5,45 to 54
Acela,Business Class,180,322,3,-2,,,,,,,,,,,
Acela,First Class,327,232,0,12,9,9,9,9,7,9,7,8,9,9,65 to 74
Acela,Business Class,167,242,0,10,9,9,9,1,9,9,N/A,9,9,9,55 to 64
Acela,Business Class,117,91,3,-6,9,9,9,9,9,9,N/A,9,9,9,55 to 64
Acela,Business Class,81.9,301,0,3,10,4,10,N/A,9,10,N/A,0,N/A,10,65 to 74
Acela,First Class,255,445,4,5,10,10,10,10,10,10,10,10,N/A,10,55 to 64
Acela,Business Class,173,231,1,0,,,,,,,,,,,
Acela,Business Class,91,225,0,-6,7,10,10,9,7,7,N/A,8,7,7,35 to 44
Acela,Business Class,75,241,0,-9,,,,,,,,,,,
Acela,Business Class,75,220,2,0,,,,,,,,,,,
Acela,Business Class,90,220,3,12,10,8,8,9,9,8,N/A,8,9,8,65 to 74
Acela,Business Class,78,116,1,0,10,10,10,10,10,10,N/A,N/A,N/A,N/A,75 or older
Acela,Business Class,186,232,0,0,,,,,,,,,,,
Acela,Business Class,25,43,15,11,8,N/A,N/A,N/A,N/A,8,N/A,8,8,8,55 to 64
Acela,Business Class,85,195,3,1,,,,,,,,,,,
Acela,Business Class,91,225,0,4,10,10,10,10,10,10,6,10,10,10,65 to 74
Acela,Business Class,85,196,0,3,,,,,,,,,,,
Acela,Business Class,71,225,0,2,10,9,10,10,10,9,9,10,10,10,45 to 54
Acela,Business Class,148,225,0,-1,10,10,10,6,10,10,N/A,2,10,10,25 to 34
Acela,Business Class,63.9,225,0,15,,,,,,,,,,,
Acela,Business Class,166.5,225,8,5,,,,,,,,,,,
Acela,Business Class,130,153,10,11,9,8,8,9,9,6,N/A,8,N/A,8,75 or older
Acela,Business Class,158,152,2,5,10,10,5,8,10,10,N/A,N/A,10,10,65 to 74
Acela,Business Class,136.8,232,0,0,,,,,,,,,,,
Acela,Business Class,58,116,5,15,10,10,10,8,10,10,N/A,7,10,10,55 to 64
Acela,Business Class,127,230,0,-1,9,10,10,10,,10,N/A,,10,10,45 to 54
Acela,Business Class,65,134,0,6,8,8,10,10,9,9,N/A,10,9,9,55 to 64
Acela,Business Class,45,91,6,15,10,9,7,10,9,10,N/A,10,10,9,45 to 54
Acela,Business Class,57,91,8,11,,,,,,,,,,,
Acela,Business Class,63.9,225,0,15,10,10,10,10,10,10,N/A,N/A,10,10,65 to 74
Acela,Business Class,85,202,13,5,,,,,,,,,,,
Acela,Business Class,155,225,12,1,,,,,,,,,,,
Acela,Business Class,263,225,0,5,,,,,,,,,,,
Acela,Business Class,56,188,4,6,10,10,10,7,10,10,N/A,N/A,10,10,18 to 24
Acela,Business Class,58,232,5,-4,10,9,10,10,10,10,8,8,10,9,25 to 34
Acela,Business Class,58,232,5,2,,,,,,,,,,,
Acela,First Class,193.2,232,0,6,4,8,9,9,10,10,6,6,9,5,65 to 74
Acela,Business Class,337,225,0,-2,,,,,,,,,,,
Acela,Business Class,303,225,0,1,,,,,,,,,,,
Acela,Business Class,216,116,2,2,10,8,10,10,10,10,N/A,N/A,10,10,55 to 64
Acela,Business Class,71,300,1,-2,9,10,10,9,10,10,10,8,8,9,45 to 54
Acela,Business Class,69,322,3,16,,,,,,,,,,,
Acela,First Class,390,232,0,-11,10,6,10,10,10,10,9,6,10,10,35 to 44
Acela,Business Class,237,457,0,-2,9,8,10,10,10,10,N/A,N/A,10,8,25 to 34
Acela,First Class,390.3,231,5,-1,10,10,10,10,10,10,8,10,10,10,65 to 74
Acela,Business Class,216,116,2,2,9,8,8,8,9,8,8,8,9,8,45 to 54
Acela,Business Class,216,220,2,-6,,,,,,,,,,,
Acela,First Class,475,225,0,1,10,10,10,10,10,10,2,10,10,10,35 to 44
Acela,First Class,226,225,0,1,10,10,10,10,10,10,10,9,10,10,35 to 44
Acela,Business Class,266,188,5,7,,,,,,,,,,,
Acela,Business Class,127,255,3,0,,,,,,,,,,,
Acela,Business Class,121,225,0,-1,,,,,,,,,,,
Acela,Business Class,66,185,2,0,6,5,10,10,10,10,10,0,N/A,10,35 to 44
Acela,Business Class,152,220,4,-6,10,9,10,10,10,7,10,6,10,10,25 to 34
Acela,Business Class,277,231,5,-1,6,5,8,7,8,10,6,N/A,4,4,18 to 24
Acela,Business Class,185,225,0,5,10,10,10,10,10,10,,,10,10,65 to 74
Acela,Business Class,57.6,279,2,1,10,10,10,10,10,10,10,10,10,10,65 to 74
Acela,Business Class,249,220,2,-8,,,,,,,,,,,
Acela,Business Class,226,225,0,-2,,,,,,,,,,,
Acela,Business Class,30,10,0,0,0,5,10,10,10,8,9,9,0,0,18 to 24
Acela,First Class,398,225,0,1,10,10,10,10,10,10,7,N/A,10,10,65 to 74
Acela,Business Class,71,225,0,5,9,9,10,9,9,9,N/A,N/A,9,10,55 to 64
Acela,Business Class,66,195,1,5,,,,,,,,,,,
Acela,Business Class,168,279,2,3,8,8,9,10,3,3,N/A,1,4,9,45 to 54
Acela,Business Class,286.2,457,0,-2,7,7,10,10,9,6,9,7,9,10,65 to 74
Acela,Business Class,272.7,225,0,2,,,,,,,,,,,
Acela,Business Class,168,116,1,-4,1,2,4,4,2,2,N/A,1,1,1,55 to 64
Acela,Business Class,66,185,0,-8,,,,,,,,,,,
Acela,Business Class,185,225,0,0,,,,,,,,,,,
Acela,Business Class,155,225,0,0,,,,,,,,,,,
Acela,Business Class,216,232,0,-5,8,3,10,10,10,9,N/A,N/A,N/A,N/A,45 to 54
Acela,Business Class,127,231,0,-2,,,,,,,,,,,
Acela,First Class,268,232,0,-5,10,9,10,10,9,9,N/A,8,10,10,45 to 54
Acela,Business Class,263,225,0,-4,9,9,9,9,10,10,7,10,10,10,55 to 64
